home_type,posted,home_URL,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area
MULTI_FAMILY,63,https://www.zillow.com/homedetails/99-59-Lockwood-Ct-Howard-Beach-NY-11414/440741596_zpid/,FOR_SALE,"$450,000","99-59 Lockwood Court, Howard Beach, NY 11414",11414,2,2,1408
SINGLE_FAMILY,19,https://www.zillow.com/homedetails/32-Overhill-Rd-Forest-Hills-NY-11375/32005740_zpid/,FOR_SALE,"$1,998,000","32 Overhill Rd, Forest Hills, NY 11375",11375,4,4,0
CONDO,104,https://www.zillow.com/homedetails/4901-Henry-Hudson-Pkwy-5J-Bronx-NY-10471/2068780599_zpid/,FOR_SALE,"$415,000","4901 Henry Hudson Parkway UNIT 5J, Bronx, NY 10471",10471,3,2,1200
CONDO,159,https://www.zillow.com/homedetails/234-E-35th-St-APT-3-New-York-NY-10016/2066825711_zpid/,FOR_SALE,"$600,000","234 E 35th St APT 3, New York, NY 10016",10016,2,1,0
SINGLE_FAMILY,126,https://www.zillow.com/homedetails/54-Bond-St-PENTHOUSE-New-York-NY-10012/401899171_zpid/,FOR_SALE,"$29,995,000","54 Bond St #PENTHOUSE, New York, NY 10012",10012,5,5,4863
SINGLE_FAMILY,18,https://www.zillow.com/homedetails/68-Carlyle-Grn-Staten-Island-NY-10312/32362189_zpid/,FOR_SALE,"$700,000","68 Carlyle Grn, Staten Island, NY 10312",10312,4,2,1850
MULTI_FAMILY,69,https://www.zillow.com/homedetails/499-E-23rd-St-Brooklyn-NY-11226/30669487_zpid/,FOR_SALE,"$1,500,000","499 E 23rd St, Brooklyn, NY 11226",11226,6,3,3240
TOWNHOUSE,51,https://www.zillow.com/homedetails/110-19-64th-Rd-UNIT-1-Forest-Hills-NY-11375/441747272_zpid/,FOR_SALE,"$738,888","110-19 64th Road UNIT 1, Forest Hills, NY 11375",11375,3,2,
CONDO,140,https://www.zillow.com/homedetails/149-Clinton-Ave-APT-2C-Brooklyn-NY-11205/83123012_zpid/,FOR_SALE,"$700,000","149 Clinton Ave APT 2C, Brooklyn, NY 11205",11205,2,1,0
MULTI_FAMILY,139,https://www.zillow.com/homedetails/119A-Campbell-Ave-Staten-Island-NY-10310/350778165_zpid/,FOR_SALE,"$399,000","119A Campbell Ave, Staten Island, NY 10310",10310,3,2,1232
MULTI_FAMILY,28,https://www.zillow.com/homedetails/135-Sommer-Ave-Staten-Island-NY-10314/442124468_zpid/,FOR_SALE,"$1,249,900","135 Sommer Ave, Staten Island, NY 10314",10314,4,5,2473
SINGLE_FAMILY,81,https://www.zillow.com/homedetails/23-Savo-Ln-Staten-Island-NY-10305/32322799_zpid/,FOR_SALE,"$650,000","23 Savo Ln, Staten Island, NY 10305",10305,2,2,1232
CONDO,126,https://www.zillow.com/homedetails/77-Perry-St-APT-3D-New-York-NY-10014/92344120_zpid/,FOR_SALE,"$775,000","77 Perry St APT 3D, New York, NY 10014",10014,0,1,0
SINGLE_FAMILY,77,https://www.zillow.com/homedetails/37-Dreyer-Ave-A-Staten-Island-NY-10314/2064678948_zpid/,FOR_SALE,"$425,000","37 Dreyer Ave #A, Staten Island, NY 10314",10314,3,3,1887
